"station_name" "lat" "lng"
"126" "龍山寺站出口1" "121.517345" "25.046485"
"127" "龍山寺站出口2" "121.520588" "25.057499"
"128" "龍山寺站出口3" "121.520615" "25.057825"
"129" "蘆洲站出口1" "121.519454" "25.062641"
"130" "蘆洲站出口2" "121.519867" "25.061936"
"131" "蘆洲站出口3" "121.519786" "25.061766"
"132" "民權西路站出口1" "121.519614" "25.061878"
"133" "民權西路站出口10" "121.518558" "25.063122"
"134" "民權西路站出口2" "121.51853" "25.062693"
"135" "民權西路站出口3" "121.520092" "25.06267"
"136" "民權西路站出口4" "121.520602" "25.06266"
"137" "民權西路站出口5" "121.520744" "25.063027"
"138" "民權西路站出口6" "121.519791" "25.063063"
"139" "民權西路站出口7" "121.520033" "25.070785"
"140" "民權西路站出口8" "121.520108" "25.071776"
"141" "民權西路站出口9" "121.525175" "25.08503"
"142" "明德站出口" "121.524807" "25.083466"
"143" "木柵站出口" "121.52496" "25.084284"
"144" "南港軟體園區站出口1" "121.525966" "25.094106"
"145" "南港軟體園區站出口2" "121.526433" "25.092901"
"146" "南港展覽館站出口1" "121.522636" "25.102046"
"147" "南港展覽館站出口2" "121.522356" "25.103804"
"148" "南港展覽館站出口2A" "121.519153" "25.109298"
"149" "南港展覽館站出口3" "121.515171" "25.115007"
"150" "南港展覽館站出口4" "121.516205" "25.113602"
"151" "南港展覽館站出口5" "121.506987" "25.120673"
"152" "南港展覽館站出口6" "121.50589" "25.120854"
"153" "南港展覽館站出口7" "121.50096" "25.126169"
"154" "南港站出口1" "121.49824" "25.132316"
"155" "南港站出口2" "121.503524" "25.136968"
"156" "南京復興站出口1" "121.485159" "25.137325"
"157" "南京復興站出口2" "121.485373" "25.137665"
"158" "南京復興站出口3" "121.473169" "25.131056"
"159" "南京復興站出口4" "121.473657" "25.130905"
"160" "南京復興站出口5" "121.467215" "25.125431"
"161" "南京復興站出口6" "121.466861" "25.12547"
"162" "南京復興站出口7" "121.459726" "25.136971"
"163" "南京復興站出口8" "121.459383" "25.136854"
"164" "南京三民站出口1" "121.459039" "25.154137"
"165" "南京三民站出口2" "121.458583" "25.153831"
"166" "南京三民站出口3" "121.445355" "25.168084"
"167" "南京三民站出口4" "121.445988" "25.167577"
"168" "南勢角站出口1" "121.435254" "24.966714"
"169" "南勢角站出口2" "121.43568" "24.966102"
"170" "南勢角站出口3" "121.436799" "24.966947"
"171" "南勢角站出口4" "121.436412" "24.967191"
