section,address,lat,lng,unit_PRICE,PRICE,health,total_size,land_size,n_land,n_build,n_park,district_id,date,built_date,floor,total_floor,build_state,use,is.comp,is.manage,is.furn,n_room,n_hall,n_bath,id
2015Q1,臺北市中山區合江街58巷1~30號,25.0558319,121.538936,490.85229808121375,11e3,1,22.41,0,0,0,0,11,2014-10-03,1973-09-07,2,4,5,1,TRUE,FALSE,TRUE,1,0,1,29
2015Q1,臺北市內湖區堤頂大道二段271~300號,25.0783433,121.5658219,683.6772066902698,168e3,0,245.73,245.73,0,1,0,5,2014-10-29,2009-01-16,7,10,2,3,FALSE,TRUE,TRUE,0,0,0,30
2015Q1,臺北市中山區中山北路二段77巷1~30號,25.0576603,121.5230347,635.7279084551811,5e4,1,78.65,0,0,1,0,11,2014-10-30,2009-10-27,3,12,10,1,TRUE,TRUE,TRUE,2,1,1,31
2015Q1,臺北市中山區建國北路一段31~60號,25.0478385,121.5393649,553.2503457814661,4e4,1,72.3,0,0,1,0,11,2014-10-30,2007-09-13,6,15,10,1,TRUE,TRUE,TRUE,1,1,1,32
2015Q1,臺北市中山區天津街31~60號,25.0487508,121.5227075,1006.2278630460448,34091,0,33.88,0,0,1,0,11,2014-10-31,1978-01-16,1,9,3,2,FALSE,FALSE,FALSE,0,0,0,33
2015Q1,臺北市中山區松江路361~390號,25.0636359,121.533545,287.1785808959972,13e4,0,452.68,0,0,1,0,11,2014-10-30,1982-07-07,9,12,1,1,TRUE,TRUE,TRUE,5,0,0,34
2015Q1,臺北市中山區長安東路二段151~180號,25.0483536,121.53871410000001,483.2919083126208,35e3,1,72.42,0,0,1,0,11,2014-10-06,2001-03-26,12,14,10,2,TRUE,TRUE,TRUE,2,1,1,35
2015Q1,臺北市中山區新生北路二段31~60號,25.0542013,121.5278274,278.2441832573759,58e3,2,208.45,0,0,1,0,11,2014-10-08,2009-09-16,12,19,10,1,TRUE,TRUE,TRUE,4,2,2,36
2015Q1,臺北市中山區林森北路571~600號,25.0649087,121.5256777,590.6608715033991,53e3,1,89.73,0,0,1,0,11,2014-10-14,2011-07-26,9,13,10,1,TRUE,TRUE,TRUE,2,2,1,37
2015Q1,臺北市內湖區民權東路六段121~150號,25.0691137,121.5927226,371.15766413363457,54215,2,146.07,0,0,1,1,5,2014-10-24,2009-01-06,1,14,10,1,TRUE,TRUE,TRUE,2,2,2,38
2015Q1,臺北市中山區錦州街361~390號,25.060485,121.540114,1479.9635701275045,65e3,0,43.92,0,0,1,0,11,2014-10-08,1984-05-24,1,7,6,4,FALSE,TRUE,FALSE,0,0,0,39
2015Q1,臺北市中山區錦州街391~420號,25.0603725,121.5412233,779.0463398253861,58e3,0,74.45,0,0,1,0,11,2014-10-11,1984-01-10,1,5,5,2,FALSE,FALSE,FALSE,0,0,0,40
2015Q1,臺北市中山區錦州街391~420號,25.0603725,121.5412233,624.4146113019044,6e4,0,96.09,0,0,1,0,11,2014-10-22,1969-09-25,1,4,5,1,FALSE,FALSE,FALSE,0,0,0,41
2015Q1,臺北市松山區南京東路三段303巷1~30號,25.053564,121.546863,242.3654871546292,35e3,2,144.41,0,0,1,0,7,2014-10-07,1982-12-10,5,7,6,1,TRUE,TRUE,TRUE,2,1,2,42
2015Q1,臺北市信義區吳興街121~150號,25.029843,121.561479,862.0689655172413,45e3,0,52.2,0,0,1,0,10,2014-10-17,1975-06-30,1,4,5,1,FALSE,FALSE,FALSE,0,0,0,43
2015Q1,臺北市松山區民生東路五段69巷1~30號,25.0587629,121.5571904,615.6339370829361,45206,2,73.43,0,0,1,0,7,2014-10-20,1977-04-07,7,7,6,1,TRUE,TRUE,TRUE,3,2,2,44
2015Q1,臺北市松山區南京東路四段53巷11弄1~30號,25.0532687,121.5510195,532.7600710346761,57e3,2,106.99,0,0,1,0,7,2014-10-15,2010-01-05,6,7,6,1,TRUE,TRUE,TRUE,2,2,2,45
2015Q1,臺北市信義區信義路五段121~150號,25.0336571,121.5738977,440.20018936832133,65088,1,147.86,0,0,1,0,10,2014-10-09,2009-07-02,12,19,10,1,TRUE,TRUE,TRUE,2,1,1,46
2015Q1,臺北市松山區復興北路427巷1~30號,25.0634505,121.5446756,426.00896860986546,38e3,0,89.2,0,0,1,0,7,2014-10-12,1973-06-28,1,4,5,-1,FALSE,FALSE,FALSE,0,0,0,47
2015Q1,臺北市松山區民權東路三段103巷1~30號,25.0624296,121.5450836,304.41400304414003,32e3,0,105.12,0,0,1,0,7,2014-10-15,NA,1,4,5,1,FALSE,FALSE,FALSE,0,0,0,48
2015Q1,臺北市南港區八德路四段871~900號,25.0511569,121.580386,125.3872252544623,8500,0,67.79,0,0,1,0,4,2014-10-18,1995-12-19,2,16,1,2,FALSE,TRUE,FALSE,0,0,0,49
