"lat" "lng"
"180" 25.043849 121.5215871
"181" 25.0441669 121.513528
"182" 25.0955186 121.5260786
"183" 25.0451499 121.5319628
"184" 25.0396317 121.502011
"185" 25.0354999 121.5273445
"186" 25.0360273 121.5014909
"187" 25.049311 121.52658
"188" 25.0506357 121.5233852
"189" 25.0513075 121.5270438
"190" 25.051054 121.5271201
"191" 25.0542819 121.5316558
"192" 25.0485709 121.5345357
"193" 25.048505 121.527757
"194" 25.0517312 121.5235516
"195" 25.0494681 121.5226512
"196" 25.0602903 121.5304103
"197" 25.061313 121.5347288
"198" 25.0580554 121.5315574
"199" 25.0574055 121.5254147
"200" 25.060453 121.532839
"201" 25.0589714 121.5405155
"202" 25.0558925 121.5438317
"203" 25.0618477 121.5254793
"204" 25.0410357 121.5638045
"205" 25.0900093 121.5255087
"206" 25.0569791 121.5389599
"207" 25.03279 121.549253
"208" 25.1219099 121.5319004
"209" 25.0804086 121.5219812
"210" 25.0791388 121.5781871
"211" 25.045662 121.575739
"212" 25.0261328 121.5006512
"213" 25.1099213 121.5202349
"214" 25.034336 121.5758399
"215" 25.04759 121.587003
"216" 25.0187558 121.530524
"217" 25.0382651 121.5841514
"218" 25.0562341 121.5423877
"219" 25.1102758 121.5303345
"220" 25.0337179 121.5391191
"221" 24.983049 121.5666245
"222" 25.034733 121.525322
"223" 25.1205139 121.5266497
"224" 24.9877211 121.5522328
"225" 24.9891166 121.562902
"226" 25.0285459 121.5410611
"227" 25.0582061 121.5524769
"228" 25.0315267 121.5187589
"229" 25.0410019 121.561765
"230" 25.0277165 121.5003555
"231" 25.0786953 121.5835764
"232" 25.0844954 121.5984675
"233" 25.0857181 121.5905163
"234" 25.1188302 121.5529057
"235" 25.0653753 121.5181137
"236" 25.0601145 121.543951
"237" 25.0432931 121.5451473
"238" 25.0255815 121.5360164
"239" 25.0398726 121.5039466
"240" 25.0968195 121.532963
"241" 24.9969549 121.539942
"242" 25.0684685 121.6148667
"243" 25.0547725 121.5282321
"244" 25.0601988 121.5373993
"245" 25.0366238 121.555732
"246" 25.001203 121.55029
"247" 25.0384227 121.5781914
"248" 25.0621493 121.5652332
"249" 25.0637374 121.5112906
"250" 25.1017758 121.5292749
"251" 25.0435529 121.578016
"252" 25.027059 121.5111514
"253" 25.0440336 121.5038049
"254" 25.0422788 121.5045784
"255" 25.0424366 121.531762
"256" 25.0687365 121.5859141
"257" 25.0532509 121.61654
"258" 25.0426871 121.5506817
"259" 25.064918 121.540811
"260" 25.082837 121.546432
"261" 25.080735 121.591157
"262" 25.0529814 121.514391
"263" 25.0469233 121.541665
"264" 25.0427009 121.5554337
"265" 24.987805 121.5755376
"266" 25.0305956 121.496353
"267" 25.0223503 121.5236954
"268" 24.9845137 121.5623797
"269" 25.0241989 121.5556159
"270" 25.0283149 121.563492
"271" 25.0255058 121.5040626
"272" 25.0777903 121.590121
"273" 25.0440807 121.5166917
"274" 25.06591 121.5157192
"275" 25.134935 121.502626
"276" 25.0506789 121.5660032
"277" 25.028706 121.5384152
"278" 25.0502606 121.5940221
"279" 25.0508728 121.5167334
"280" 25.0506235 121.5437849
"281" 25.117507 121.5069392
"282" 25.0303257 121.5042471
"283" 24.9949127 121.5448312
"284" 25.0521586 121.5106688
"285" 25.1452503 121.4952491
"286" 25.0183375 121.5569773
"287" 25.0898549 121.5266474
"288" 25.1058595 121.5313073
"289" 25.0235129 121.501522
"290" 25.1043437 121.5277027
"291" 25.0542496 121.5332476
"292" 25.0296601 121.5185077
"293" 24.9932874 121.4271722
"294" 25.0426099 121.557372
"295" 25.0670328 121.6579854
"296" 24.9927028 121.540478
"297" 25.0246603 121.5508287
"298" 25.0631558 121.5166258
"299" 24.9878075 121.5607105
"300" 25.044047 121.5074479
"301" 25.0459689 121.585395
"302" 25.0482769 121.575975
"303" 25.0284853 121.5453996
"304" 25.1105639 121.5146134
"305" 25.0462337 121.5534927
"306" 25.0136689 121.534345
"307" 25.085158 121.469135
"308" 25.0322425 121.5575652
"309" 25.0280218 121.5563526
"310" 25.033379 121.531445
"311" 25.0400238 121.5533099
"312" 25.0481761 121.5419869
"313" 25.0309643 121.5433064
"314" 25.1215397 121.4674825
"315" 25.0812719 121.5723477
"316" 24.9876009 121.569664
"317" 25.0066095 121.5391195
"318" 25.0581453 121.5285069
"319" 24.9953887 121.5597064
"320" 25.0658311 121.5410826
"321" 25.0432145 121.5060737
"322" 25.0416242 121.5686604
"323" 25.0856302 121.4788181
"324" 25.0263306 121.5064633
"325" 25.0646161 121.6596506
"326" 25.0249949 121.4967935
"327" 25.0183074 121.5325804
"328" 25.121184 121.531973
"329" 25.0856168 121.5093202
"330" 25.0477652 121.5460902
"331" 25.0154448 121.5323451
"332" 25.050254 121.5765508
"333" 25.0498558 121.5435826
"334" 25.0461278 121.515325
"335" 25.0332039 121.5422769
"336" 25.028375 121.568193
"337" 25.0570076 121.5461262
"338" 25.05176 121.512028
"339" 25.043684 121.571913
"340" 25.0687097 121.585673
"341" 25.1254092 121.5081946
"342" 25.114801 121.530348
"343" 25.0488572 121.5819606
"344" 25.0448301 121.5151514
"345" 25.0459868 121.553706
"346" 25.067778 121.612383
"347" 25.0645815 121.5835167
"348" 25.0790564 121.4666372
"349" 25.0356456 121.499201
"350" 25.094753 121.5260519
"351" 25.0333903 121.519881
"352" 25.0417768 121.5374092
"353" 25.0411915 121.5797605
"354" 25.016561 121.550789
"355" 25.0436519 121.513069
"356" 24.9915899 121.574052
"357" 25.0185367 121.5116633
"358" 25.0466388 121.5153427
"359" 25.0303477 121.5169685
"360" 25.023758 121.49528
"361" 25.085496 121.506616
"362" 25.0809776 121.522862
"363" 25.054593 121.533423
"364" 25.0648609 121.5227217
"365" 25.065814 121.513916
"366" 25.0804384 121.5914236
"367" 25.0329694 121.5654177
"368" 25.0527071 121.5202517
"369" 25.0425123 121.5541231
"370" 25.0361697 121.5466779
"371" 25.0221231 121.540986
"372" 25.0255587 121.5228292
"373" 25.137109 121.504288
"374" 25.058227 121.518416
"375" 25.0861564 121.5082587
"376" 25.087847 121.526399
"377" 25.0446553 121.5094134
"378" 25.1031773 121.5284507
"379" 25.032912 121.574648
"380" 25.090986 121.5257671
"381" 25.0655899 121.5113442
"382" 25.104171 121.5269114
"383" 25.0834606 121.5803195
"384" 25.0411576 121.5534575
"385" 25.000183 121.553168
"386" 25.047182 121.542807
"387" 24.997875 121.544545
"388" 25.0231239 121.517336
"389" 25.0227676 121.5499565
"390" 25.0522983 121.5287385
"391" 24.9964209 121.560104
"392" 25.0716419 121.5105468
"393" 25.0807769 121.546522
"394" 25.1143705 121.5301134
"395" 24.9844398 121.5478793
"396" 25.0851203 121.5737516
"397" 25.1198237 121.5269152
"398" 25.0677908 121.6121035
"399" 25.006622 121.53915
"400" 25.0547094 121.5344161
"401" 25.0798669 121.5949685
"402" 25.0228132 121.5476696
"403" 25.004655 121.5365649
"404" 25.0798669 121.5949685
"405" 25.0219837 121.5263579
"406" 25.0797449 121.5787341
"407" 25.0483733 121.5434687
"408" 25.0365808 121.5005957
"409" 25.0507342 121.571571
"410" 25.0598707 121.5680337
"411" 25.122462 121.5320522
"412" 25.0665858 121.4499176
"413" 25.0019455 121.5673877
"414" 25.025714 121.4925885
"415" 25.078128 121.590576
"416" 25.0692049 121.574991
"417" 25.0487524 121.5447574
"418" 25.0343805 121.5059753
"419" 25.0397098 121.5915506
"420" 25.053224 121.552453
"421" 25.056989 121.544852
"422" 25.0839464 121.5784156
"423" 25.0367527 121.4993738
"424" 25.0969674 121.5326538
"425" 25.0402722 121.5312141
"426" 25.152493 121.547476
"427" 25.0559164 121.5372206
"428" 25.0542432 121.544379
"429" 25.056713 121.560554
"430" 25.0703276 121.5217539
"431" 25.0602699 121.5213021
"432" 25.0311174 121.5495688
"433" 24.9924886 121.5408332
"434" 25.026133 121.494375
"435" 25.0259789 121.5033178
"436" 25.0174859 121.533062
"437" 25.036607 121.55849
"438" 25.0731183 121.5114223
"439" 25.0510894 121.5686879
"440" 25.0656223 121.5368585
"441" 25.080383 121.522042
"442" 25.0578442 121.5329186
"443" 25.0364924 121.5227125
"444" 25.084665 121.557303
"445" 25.0424914 121.5570156
"446" 25.10564 121.517646
"447" 25.0885889 121.523195
"448" 25.0250457 121.5004455
"449" 25.0312165 121.5611086
"450" 25.0405729 121.5048789
"451" 25.0332016 121.5291838
"452" 25.0820165 121.5792383
"453" 25.0491107 121.5941932
"454" 25.1288724 121.469591
"455" 25.0547848 121.5406529
"456" 25.0322726 121.5572634
"457" 25.035447 121.5676776
"458" 25.0513075 121.5270438
"459" 25.0828273 121.5810232
"460" 25.0801026 121.5664005
"461" 25.037531 121.5639969
"462" 25.0762293 121.6217059
"463" 25.0343154 121.5301614
"464" 25.0444956 121.5158813
"465" 25.0201811 121.4956
"466" 25.040831 121.562594
"467" 25.0345844 121.5278
"468" 25.0234685 121.519178
"469" 25.0219229 121.5509603
"470" 25.0348367 121.573658
"471" 25.1375747 121.5034432
"472" 25.026175 121.557473
"473" 25.03723 121.576973
"474" 25.10564 121.517646
"475" 25.0289307 121.549271
"476" 25.0415238 121.587861
"477" 24.9812437 121.5581412
"478" 25.0414776 121.5089709
"479" 25.0263615 121.5137938
"480" 25.0990508 121.5305114
"481" 25.0435977 121.5530755
"482" 25.038893 121.573898
"483" 25.0405506 121.5631812
"484" 25.0063829 121.5691204
"485" 25.0434723 121.5740349
"486" 25.061742 121.542477
"487" 25.0561454 121.5435697
"488" 25.0201319 121.4975998
"489" 25.058072 121.5632278
"490" 25.024629 121.509959
"491" 25.0971383 121.519731
"492" 25.0466102 121.5136585
"493" 25.0957243 121.528915
"494" 25.081179 121.571084
"495" 25.05395 121.5920067
"496" 25.0397963 121.5780166
"497" 25.1183343 121.536879
"498" 25.0558329 121.513793
"499" 25.0683396 121.5229425
"500" 25.0549907 121.555631
"501" 25.152493 121.547476
"502" 25.0583412 121.5504123
"503" 25.0461178 121.5187655
"504" 25.0333952 121.5515655
"505" 25.1168141 121.5333138
"506" 25.0427638 121.504981
"507" 25.0863232 121.5250421
"508" 24.9826035 121.564068
"509" 25.0429861 121.5659519
"510" 25.0274507 121.5535905
"511" 24.9815215 121.5604759
"512" 25.049863 121.576667
"513" 25.0262962 121.543668
"514" 25.042463 121.539593
"515" 25.0344879 121.5076071
"516" 25.0257462 121.538629
"517" 25.0491469 121.526524
"518" 25.0258373 121.5663366
"519" 25.038625 121.550994
"520" 24.9933819 121.5401529
"521" 25.0829714 121.5783414
"522" 25.0447069 121.577308
"523" 25.045131 121.504727
"524" 25.135148 121.5049037
"525" 25.050517 121.515144
"526" 25.0215849 121.502404
"527" 25.0244727 121.5702769
"528" 25.0511675 121.531581
"529" 25.0445865 121.5167517
"530" 25.0296263 121.5197741
"531" 25.1377638 121.5417616
"532" 24.9804372 121.556371
"533" 25.1140697 121.5196478
"534" 25.0899429 121.506158
"535" 25.1175695 121.50671
"536" 25.0511507 121.5332607
"537" 25.0395969 121.5518828
"538" 25.0723656 121.6082852
"539" 25.078787 121.5833524
"540" 25.0784757 121.5788989
"541" 25.066759 121.5260029
"542" 25.1156536 121.5331645
"543" 25.0274551 121.4933172
"544" 25.0568694 121.5149958
"545" 25.043067 121.511644
"546" 25.0332237 121.5269059
"547" 25.0800437 121.5759928
"548" 25.1239711 121.5326611
"549" 25.0698942 121.6171378
"550" 25.0142587 121.5312817
"551" 25.0368446 121.5686546
"552" 25.0509046 121.5610269
"553" 25.048241 121.5406915
"554" 25.0631603 121.5162926
"555" 25.0447812 121.5072107
"556" 25.0701956 121.5803026
"557" 25.0350258 121.5067594
"558" 25.0616971 121.5380976
"559" 25.0550967 121.6133095
"560" 25.0586414 121.6136272
"561" 25.0015303 121.539676
"562" 25.0043174 121.556479
"563" 25.051821 121.521504
"564" 25.0512741 121.561899
"565" 25.049613 121.5595939
"566" 25.041138 121.506842
"567" 25.0524549 121.5438183
"568" 25.0591835 121.6140964
"569" 25.0411038 121.5762524
"570" 25.073075 121.5775931
"571" 25.1063353 121.5253896
"572" 25.0681157 121.6161773
"573" 25.0508019 121.5183101
"574" 25.029821 121.528376
"575" 25.038778 121.5500384
"576" 25.0326006 121.5543849
"577" 25.0523055 121.5284519
"578" 25.0523749 121.6050348
"579" 25.1186029 121.5182004
"580" 25.0132497 121.5411187
"581" 25.0491901 121.5782994
"582" 25.0205189 121.495798
"583" 24.9912742 121.5413963
"584" 25.0513242 121.5588287
"585" 25.1207265 121.5053746
"586" 25.0823185 121.5580697
"587" 25.056163 121.523514
"588" 25.0948165 121.5185817
"589" 25.0883909 121.520599
"590" 25.0511679 121.553694
"591" 25.0820648 121.5780385
"592" 25.033004 121.530336
"593" 25.0498408 121.5175818
"594" 25.0428911 121.5424508
"595" 25.0637317 121.5503315
"596" 25.0332016 121.5291838
"597" 25.113429 121.5100502
"598" 25.0440472 121.5064303
"599" 24.9976657 121.5737567
"600" 25.1124612 121.5375692
"601" 25.1109134 121.5295275
"602" 25.133616 121.50216
"603" 25.0526356 121.5550387
"604" 25.0805365 121.5629546
"605" 25.0210652 121.5281383
"606" 25.0539157 121.5235092
"607" 25.0798132 121.5655037
"608" 25.0632223 121.5329491
"609" 25.065416 121.5110721
"610" 25.0528006 121.544604
"611" 25.0393572 121.5874363
"612" 25.0405044 121.5668964
"613" 25.0437322 121.5444485
"614" 25.05172 121.533965
"615" 25.0465468 121.5175552
"616" 25.1379676 121.4850814
