"Id" "Image" "Name" "Area" "Location" "Type" "BuildYear" "UnitName" "UnitPhone" "Url" "Latitude" "Longitude"
"22" "43c390df-706b-4280-bbf3-658f136f3771" NA "北投181號綠地(一德綠地)" "臺北市北投區" "大度路三段，中央北路四段(萬善宮旁)" "綠地" "88" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/43c390df-706b-4280-bbf3-658f136f3771" 25.12394 121.464767
"23" "85313050-c402-403b-9f8a-d1a665971e4e" NA "北投173號綠地(永和綠地)" "臺北市北投區" "行義路98號附近" "綠地" "90" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/85313050-c402-403b-9f8a-d1a665971e4e" 25.12791 121.527931
"24" "641ddf21-facb-4316-bd78-037ebba69ccd" NA "北投169號綠地" "臺北市北投區" "大度路一段，承德路口南側" "綠地" "71" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/641ddf21-facb-4316-bd78-037ebba69ccd" 25.12045 121.500153
"25" "b2df369e-e4fc-45ca-9492-342ffbf719e2" NA "北投168號綠地" "臺北市北投區" "大業路50號東側" "綠地" "76" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/b2df369e-e4fc-45ca-9492-342ffbf719e2" 25.12437 121.499191
"26" "d8930129-8667-4dbf-8657-1257271a910e" NA "北投167號綠地" "臺北市北投區" "大業路400號東側" "綠地" "76" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/d8930129-8667-4dbf-8657-1257271a910e" 25.12762 121.498077
"27" "cba2baeb-774a-45dc-9e91-75149dd0439a" NA "北投166號綠地" "臺北市北投區" "大業路東側" "綠地" "76" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/cba2baeb-774a-45dc-9e91-75149dd0439a" 25.13051 121.496872
"28" "20ed4dee-7fbe-4b48-8cdd-3274f42811d4" NA "北投165號綠地" "臺北市北投區" "大業路452巷兩側" "綠地" "69" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/20ed4dee-7fbe-4b48-8cdd-3274f42811d4" 25.13176 121.496239
"29" "7a6ce417-951d-4c30-a1e7-81a4b104e15e" NA "北投164號綠地" "臺北市北投區" "大業路東側，十信工高旁" "綠地" "78" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/7a6ce417-951d-4c30-a1e7-81a4b104e15e" 25.13345 121.495979
"30" "fc8a111d-bb7d-42db-9fe2-953ad0daa680" NA "大業綠地" "臺北市北投區" "大業路西側" "綠地" "88" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/fc8a111d-bb7d-42db-9fe2-953ad0daa680" 25.13624 121.49054
"31" "9eb6ab33-2f1c-48c7-a73f-cd0bf42275f7" NA "番仔厝綠地" "臺北市北投區" "大業路旁" "綠地" "91" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/9eb6ab33-2f1c-48c7-a73f-cd0bf42275f7" 25.13413 121.4959
"32" "19290830-c744-4e29-8428-85f7b73f54de" NA "田心仔綠地" "臺北市北投區" "中央北路二段257巷東側" "綠地" "91" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/19290830-c744-4e29-8428-85f7b73f54de" 25.13514 121.494926
"33" "0d2318bc-197f-48ef-ba6a-16a269e7c669" NA "北投160號綠地" "臺北市北投區" "和平路二段28號前" "綠地" "81" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/0d2318bc-197f-48ef-ba6a-16a269e7c669" 25.13518 121.4965
"34" "31d53db0-b2de-40e5-82fe-4fd9c9eef330" NA "北投135號綠地" "臺北市北投區" "承德路七段，文林北路口東側" "綠地" "71" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/31d53db0-b2de-40e5-82fe-4fd9c9eef330" 25.11184 121.510307
"35" "6cb59b6a-c0c6-4859-aca8-ab64c5ab2a80" NA "北投124號綠地" "臺北市北投區" "承德路七段前西側" "廣場" "71" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/6cb59b6a-c0c6-4859-aca8-ab64c5ab2a80" 25.11332 121.50798
"36" "51d23b41-7deb-4d61-8ba6-af2a11e630de" NA "北投123號綠地" "臺北市北投區" "承德路七段前西側" "綠地" "71" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/51d23b41-7deb-4d61-8ba6-af2a11e630de" 25.11878 121.501984
"37" "f92f79b5-9243-4118-bae3-40122c99835d" NA "北投122號綠地" "臺北市北投區" "承德路七段168號旁前東側" "綠地" "71" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/f92f79b5-9243-4118-bae3-40122c99835d" 25.11307 121.508926
"38" "57b681b1-c7d2-4836-9ecf-618bb6f122c6" NA "北投121號綠地" "臺北市北投區" "承德路七段214號前東側" "綠地" "71" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/57b681b1-c7d2-4836-9ecf-618bb6f122c6" 25.11664 121.50499
"39" "3a807f15-476a-47f8-bc54-b2284c841c40" NA "北投120號綠地" "臺北市北投區" "承德路七段135號前西側" "綠地" "71" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/3a807f15-476a-47f8-bc54-b2284c841c40" 25.11841 121.503067
"40" "df343419-2fad-47c6-937f-c6db7c67cea0" NA "中和綠地" "臺北市北投區" "中和街363號附近" "綠地" "89" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/df343419-2fad-47c6-937f-c6db7c67cea0" 25.14188 121.4988
"41" "5520ddf3-9ca8-4f58-bd53-340b60a011f4" NA "北投106號綠地" "臺北市北投區" "建明路165之1及明德路旁(石牌綠地系統)" "綠地" "00" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/5520ddf3-9ca8-4f58-bd53-340b60a011f4" 25.11125 121.52005
"42" "28ea978a-36f8-4709-b9f3-f021beada555" NA "承仙綠地" "臺北市北投區" "承德路7段.公館路交會東北側" "綠地" "86" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/28ea978a-36f8-4709-b9f3-f021beada555" 25.11968 121.502632
"43" "f22ba66c-3f4a-4ca0-b373-7e8a789529dd" NA "明德綠地" "臺北市北投區" "東華街一段10號附近" "都會廣場" "84" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/f22ba66c-3f4a-4ca0-b373-7e8a789529dd" 25.10726 121.520981
"44" "4381aeaa-122d-476f-b5e3-a3dbdc2c6a4c" NA "北投203綠地" "臺北市北投區" "公館路423巷11-17號前(區段徵收)" "綠地" "84" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/4381aeaa-122d-476f-b5e3-a3dbdc2c6a4c" 25.1208 121.503059
"45" "3245879f-7850-40b5-a35d-db8faa2f5381" NA "忠義綠地" "臺北市北投區" "台北市北投區中央北路四段32號旁" "綠地" "85" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/3245879f-7850-40b5-a35d-db8faa2f5381" 25.13502 121.477921
"46" "f01cc404-6a2d-4b65-9172-0cb2e76e6ad1" NA "溫泉綠地" "臺北市北投區" "溫泉路137號旁" "自然公園" "88" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/f01cc404-6a2d-4b65-9172-0cb2e76e6ad1" 25.13868 121.512459
"47" "f4fa080f-50b0-4acc-ba32-41c494419e6d" NA "永欣綠地" "臺北市北投區" "石牌路二段371巷3號" "綠地" "87" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/f4fa080f-50b0-4acc-ba32-41c494419e6d" 25.11923 121.523239
"48" "aa046fc0-902e-4328-9db6-d154da0f9b4a" NA "櫻花崗綠地" "臺北市北投區" "石牌路二段與天母北路交叉口" "都會廣場" "87" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/aa046fc0-902e-4328-9db6-d154da0f9b4a" 25.11933 121.523277
"49" "7b7c4574-30cd-4382-a409-d8e63880214e" NA "聖景二公園" "臺北市北投區" "聖景路101號旁" "自然公園" "82" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/7b7c4574-30cd-4382-a409-d8e63880214e" 25.12211 121.46286
"50" "0857c717-d8fa-420f-9489-faeee50ae1e1" NA "聖景一公園" "臺北市北投區" "聖景路100號內" "自然公園" "82" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/0857c717-d8fa-420f-9489-faeee50ae1e1" 25.12191 121.462738
"51" "1b405963-be10-4166-942e-02c2873921e1" NA "聖景三公園" "臺北市北投區" "聖景路100號內" "自然公園" "82" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/1b405963-be10-4166-942e-02c2873921e1" 25.12173 121.462761
"52" "cc487da6-2bea-443e-9553-59030a5a08a4" NA "文化3號公園" "臺北市北投區" "中央北路二段68巷進入(42巷11弄旁)" "都會廣場" "89" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/cc487da6-2bea-443e-9553-59030a5a08a4" 25.1377 121.494713
"53" "98619701-3561-4b04-9b21-7b2bb8062348" NA "天狗庵史蹟公園" "臺北市北投區" "溫泉路73巷(天狗庵舊址)" "史蹟公園" "102" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/98619701-3561-4b04-9b21-7b2bb8062348" 25.13593 121.506668
"54" "ddf582ac-2a0b-4085-9829-0ec2f24713d4" NA "桂花公園" "臺北市北投區" "中山路5-7號(林泉里辦公處旁)" "自然公園" "97" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/ddf582ac-2a0b-4085-9829-0ec2f24713d4" 25.13791 121.510223
"55" "7501dd5f-abec-488c-a972-1e7e0f6c2d2d" NA "重三公園" "臺北市北投區" "新興路與重三路交叉口(重三新村八期重劃)政校後勤區" "都會廣場" "101" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/7501dd5f-abec-488c-a972-1e7e0f6c2d2d" 25.14016 121.489288
